id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,103432.0,2063793492904,1,2063794527509,60166377295,105466.0,102461.0,-1425.116254049717,-1.35911,-27838074500.688477,-1.33093,19947643.0,19947653.0,21000000.0,126080.0,-17.94222,2025-10-06T18:57:42.558Z,67.81,152473.1944,2013-07-06T00:00:00.000Z,,2025-11-12T07:44:43.785Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3447.81,416373894761,2,416373894761,31461611347,3591.01,3408.35,-98.10624918971143,-2.76674,-11580824151.526123,-2.70609,120696490.0746906,120696490.0746906,,4946.05,-30.25177,2025-08-24T19:21:03.333Z,0.432979,796655.10835,2015-10-20T00:00:00.000Z,"{'times': 43.56309935526049, 'currency': 'btc', 'percentage': 4356.309935526049}",2025-11-12T07:44:44.813Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999989,183490176722,3,188956701847,96670697497,1.0,0.9993,0.00037865,0.03788,52575160.0,0.02866,183503961350.794,188970897145.6062,,1.32,-24.42901,2018-07-24T00:00:00.000Z,0.572521,74.64447,2015-03-02T00:00:00.000Z,,2025-11-12T07:44:36.302Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.39,143665832708,4,238982013489,3591624219,2.47,2.38,-0.06838765111197764,-2.78176,-3977458600.8287354,-2.69397,60107199237.0,99985774127.0,100000000000.0,3.65,-34.47851,2025-07-18T03:40:53.808Z,0.00268621,88841.82796,2014-05-22T00:00:00.000Z,,2025-11-12T07:44:36.060Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,956.7,131876689678,5,131876687648,1508022990,983.9,956.57,-22.468443319107678,-2.29464,-3015907829.9561462,-2.23578,137737189.04,137737186.92,200000000.0,1369.99,-30.11259,2025-10-13T08:41:24.131Z,0.0398177,2404488.03641,2017-10-19T00:00:00.000Z,,2025-11-12T07:44:43.710Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,156.23,86509807902,6,95867486788,5471296545,164.65,153.94,-8.418958207802973,-5.11339,-4867910145.760757,-5.32724,553907136.902114,613822685.0841492,,293.31,-46.75627,2025-01-19T11:15:27.957Z,0.500801,31084.07652,2020-05-11T19:35:23.449Z,,2025-11-12T07:44:35.932Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999799,75975861697,7,75978582381,5490262115,0.999899,0.999697,-2.941174826909e-06,-0.00029,-116536837.55787659,-0.15315,75990955824.02538,75993677048.64207,,1.17,-14.74407,2019-05-08T00:40:28.300Z,0.877647,13.91846,2023-03-11T08:02:13.981Z,,2025-11-12T07:44:36.228Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3446.75,29772899847,8,29772899847,69007434,3586.48,3405.87,-99.74828032265168,-2.81258,-845221088.0952682,-2.76053,8636620.861855565,8636620.861855565,,4932.89,-30.11896,2025-08-24T19:21:31.902Z,482.9,613.85054,2020-12-22T04:08:21.854Z,,2025-11-12T07:44:35.547Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.298821,28291907171,9,28291907396,728631843,0.300918,0.296563,0.00162825,0.54788,157223810.0,0.55883,94669079719.2413,94669080473.2179,,0.431288,-30.70748,2024-12-04T00:10:40.323Z,0.00180434,16462.85877,2017-11-12T00:00:00.000Z,"{'times': 156.27423347179553, 'currency': 'usd', 'percentage': 15627.423347179552}",2025-11-12T07:44:35.842Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.172319,26144405778,10,26145965166,1558859398,0.178317,0.171152,-0.004450202556180366,-2.51751,-666998737.3627319,-2.48774,151730556383.7052,151739606383.7052,,0.731578,-76.46071,2021-05-08T05:08:23.458Z,8.69e-05,198059.76737,2015-05-06T00:00:00.000Z,,2025-11-12T07:44:36.622Z
